agent_id,agent_code,agent_name,region,territory,office,join_date,channel,active_flag
1,AGT00001,Arun Joshi,North,T-N1,T-N1-O1,2022-04-18,tied_agency,0
2,AGT00002,Shweta Bose,North,T-N1,T-N1-O1,2022-02-20,tied_agency,1
3,AGT00003,Rahul Singh,North,T-N1,T-N1-O1,2019-08-11,tied_agency,1
4,AGT00004,Rahul Bose,North,T-N1,T-N1-O1,2021-08-13,tied_agency,1
5,AGT00005,Meena Joshi,North,T-N1,T-N1-O1,2019-04-12,bancassurance,1
6,AGT00006,Asha Sharma,North,T-N1,T-N1-O1,2019-08-14,tied_agency,1
7,AGT00007,Arun Mehta,North,T-N1,T-N1-O1,2019-01-03,tied_agency,1
8,AGT00008,Deepak Kumar,North,T-N1,T-N1-O1,2021-01-12,bancassurance,1
9,AGT00009,Sheetal Patel,North,T-N1,T-N1-O1,2020-12-28,bancassurance,1
10,AGT00010,Jyoti Pandey,North,T-N1,T-N1-O1,2019-11-30,tied_agency,1
11,AGT00011,Gaurav Chauhan,North,T-N1,T-N1-O1,2019-10-29,bancassurance,1
12,AGT00012,Priya Joshi,North,T-N1,T-N1-O2,2021-11-04,bancassurance,1
13,AGT00013,Asha Kumar,North,T-N1,T-N1-O2,2022-06-22,bancassurance,1
14,AGT00014,Ramesh Agarwal,North,T-N1,T-N1-O2,2021-05-12,tied_agency,1
15,AGT00015,Shweta Nair,North,T-N1,T-N1-O2,2020-11-04,tied_agency,1
16,AGT00016,Nita Joshi,North,T-N1,T-N1-O2,2019-07-04,tied_agency,1
17,AGT00017,Jyoti Bose,North,T-N1,T-N1-O2,2020-04-30,tied_agency,1
18,AGT00018,Dinesh Patel,North,T-N1,T-N1-O2,2019-01-30,tied_agency,1
19,AGT00019,Deepak Nair,North,T-N1,T-N1-O2,2022-09-28,tied_agency,1
20,AGT00020,Vijay Verma,North,T-N1,T-N1-O2,2021-09-26,tied_agency,1
21,AGT00021,Sanjay Iyer,North,T-N1,T-N1-O2,2019-03-31,tied_agency,1
22,AGT00022,Nita Bose,North,T-N1,T-N1-O3,2022-02-20,bancassurance,1
23,AGT00023,Vijay Pandey,North,T-N1,T-N1-O3,2019-08-23,bancassurance,1
24,AGT00024,Vikas Pillai,North,T-N1,T-N1-O3,2021-09-09,bancassurance,1
25,AGT00025,Asha Kumar,North,T-N1,T-N1-O3,2022-05-30,tied_agency,1
26,AGT00026,Shweta Das,North,T-N1,T-N1-O3,2019-05-27,tied_agency,1
27,AGT00027,Rohit Pillai,North,T-N1,T-N1-O3,2020-10-05,bancassurance,1
28,AGT00028,Rahul Kumar,North,T-N1,T-N1-O3,2019-10-26,bancassurance,1
29,AGT00029,Kavita Das,North,T-N1,T-N1-O3,2019-04-30,tied_agency,1
30,AGT00030,Sanjay Nair,North,T-N1,T-N1-O4,2022-11-26,tied_agency,1
31,AGT00031,Asha Reddy,North,T-N1,T-N1-O4,2020-01-28,tied_agency,1
32,AGT00032,Neha Bose,North,T-N1,T-N1-O4,2022-01-23,tied_agency,1
33,AGT00033,Rahul Kumar,North,T-N1,T-N1-O4,2019-07-25,bancassurance,1
34,AGT00034,Pooja Menon,North,T-N1,T-N1-O4,2021-03-13,tied_agency,1
35,AGT00035,Ramesh Singh,North,T-N1,T-N1-O4,2022-06-10,tied_agency,1
36,AGT00036,Nita Gupta,North,T-N1,T-N1-O4,2022-03-15,bancassurance,1
37,AGT00037,Meena Shah,North,T-N1,T-N1-O4,2019-12-18,tied_agency,1
38,AGT00038,Shweta Agarwal,North,T-N1,T-N1-O4,2021-03-04,bancassurance,1
39,AGT00039,Pooja Singh,North,T-N2,T-N2-O1,2020-05-22,bancassurance,1
40,AGT00040,Pooja Menon,North,T-N2,T-N2-O1,2022-10-20,tied_agency,1
41,AGT00041,Gaurav Patel,North,T-N2,T-N2-O1,2022-11-18,tied_agency,0
42,AGT00042,Asha Verma,North,T-N2,T-N2-O1,2022-07-17,tied_agency,1
43,AGT00043,Shweta Rao,North,T-N2,T-N2-O1,2020-01-15,tied_agency,1
44,AGT00044,Jyoti Menon,North,T-N2,T-N2-O1,2019-11-24,bancassurance,1
45,AGT00045,Sheetal Das,North,T-N2,T-N2-O1,2021-07-23,tied_agency,1
46,AGT00046,Meena Agarwal,North,T-N2,T-N2-O1,2022-05-23,bancassurance,1
47,AGT00047,Pallavi Patel,North,T-N2,T-N2-O1,2020-08-13,tied_agency,1
48,AGT00048,Suresh Kumar,North,T-N2,T-N2-O1,2022-07-31,tied_agency,1
49,AGT00049,Vikas Das,North,T-N2,T-N2-O2,2021-11-08,tied_agency,1
50,AGT00050,Asha Singh,North,T-N2,T-N2-O2,2021-05-11,bancassurance,1
51,AGT00051,Gaurav Bose,North,T-N2,T-N2-O2,2019-11-01,tied_agency,1
52,AGT00052,Asha Joshi,North,T-N2,T-N2-O2,2022-05-25,tied_agency,1
53,AGT00053,Rajesh Pandey,North,T-N2,T-N2-O2,2020-08-22,tied_agency,1
54,AGT00054,Deepak Nair,North,T-N2,T-N2-O2,2021-12-30,bancassurance,1
55,AGT00055,Pallavi Bose,North,T-N2,T-N2-O2,2021-04-27,bancassurance,1
56,AGT00056,Priya Menon,North,T-N2,T-N2-O3,2021-11-09,tied_agency,1
57,AGT00057,Vijay Rao,North,T-N2,T-N2-O3,2021-02-28,tied_agency,0
58,AGT00058,Amit Gupta,North,T-N2,T-N2-O3,2022-08-08,tied_agency,1
59,AGT00059,Asha Joshi,North,T-N2,T-N2-O3,2019-08-02,bancassurance,0
60,AGT00060,Vijay Joshi,North,T-N2,T-N2-O3,2022-04-01,tied_agency,1
61,AGT00061,Shweta Menon,North,T-N2,T-N2-O3,2019-06-13,bancassurance,1
62,AGT00062,Nitin Verma,North,T-N2,T-N2-O3,2021-06-16,tied_agency,1
63,AGT00063,Gaurav Reddy,North,T-N2,T-N2-O4,2020-09-13,bancassurance,1
64,AGT00064,Jyoti Singh,North,T-N2,T-N2-O4,2021-02-23,tied_agency,1
65,AGT00065,Vijay Kumar,North,T-N2,T-N2-O4,2020-05-08,tied_agency,1
66,AGT00066,Arun Mehta,North,T-N2,T-N2-O4,2019-11-27,bancassurance,1
67,AGT00067,Anjali Reddy,North,T-N2,T-N2-O4,2022-07-15,tied_agency,1
68,AGT00068,Nitin Reddy,North,T-N2,T-N2-O4,2020-06-18,tied_agency,1
69,AGT00069,Kavita Kumar,North,T-N2,T-N2-O4,2019-03-06,tied_agency,1
70,AGT00070,Sunita Bose,North,T-N2,T-N2-O4,2021-06-09,tied_agency,1
71,AGT00071,Nitin Verma,North,T-N3,T-N3-O1,2021-05-04,tied_agency,1
72,AGT00072,Arun Pillai,North,T-N3,T-N3-O1,2019-01-25,bancassurance,1
73,AGT00073,Asha Patel,North,T-N3,T-N3-O1,2021-07-06,tied_agency,1
74,AGT00074,Arun Patel,North,T-N3,T-N3-O1,2019-05-13,tied_agency,1
75,AGT00075,Gaurav Nair,North,T-N3,T-N3-O1,2021-01-18,tied_agency,1
76,AGT00076,Meena Bose,North,T-N3,T-N3-O1,2020-06-11,tied_agency,1
77,AGT00077,Sanjay Mehta,North,T-N3,T-N3-O1,2022-04-17,tied_agency,0
78,AGT00078,Vikas Das,North,T-N3,T-N3-O1,2020-11-06,tied_agency,1
79,AGT00079,Jyoti Patel,North,T-N3,T-N3-O2,2021-03-11,bancassurance,1
80,AGT00080,Shweta Kumar,North,T-N3,T-N3-O2,2021-09-28,bancassurance,1
81,AGT00081,Meena Chauhan,North,T-N3,T-N3-O2,2019-10-13,tied_agency,1
82,AGT00082,Sheetal Gupta,North,T-N3,T-N3-O2,2021-08-05,bancassurance,1
83,AGT00083,Jyoti Verma,North,T-N3,T-N3-O2,2022-10-13,bancassurance,1
84,AGT00084,Sheetal Joshi,North,T-N3,T-N3-O2,2019-03-02,bancassurance,1
85,AGT00085,Priya Rao,North,T-N3,T-N3-O3,2022-04-25,tied_agency,1
86,AGT00086,Rohit Agarwal,North,T-N3,T-N3-O3,2021-10-20,bancassurance,1
87,AGT00087,Shweta Shah,North,T-N3,T-N3-O3,2021-08-23,bancassurance,1
88,AGT00088,Amit Nair,North,T-N3,T-N3-O3,2021-01-29,bancassurance,1
89,AGT00089,Shweta Bose,North,T-N3,T-N3-O3,2019-04-29,bancassurance,1
90,AGT00090,Arun Gupta,North,T-N3,T-N3-O3,2022-10-07,bancassurance,1
91,AGT00091,Meena Agarwal,North,T-N3,T-N3-O3,2022-09-15,bancassurance,1
92,AGT00092,Sunita Pandey,North,T-N3,T-N3-O4,2019-07-10,tied_agency,1
93,AGT00093,Meena Sharma,North,T-N3,T-N3-O4,2021-06-29,tied_agency,0
94,AGT00094,Shweta Verma,North,T-N3,T-N3-O4,2020-11-17,bancassurance,1
95,AGT00095,Pallavi Reddy,North,T-N3,T-N3-O4,2019-03-15,bancassurance,1
96,AGT00096,Deepak Reddy,North,T-N3,T-N3-O4,2019-03-08,tied_agency,1
97,AGT00097,Deepak Gupta,North,T-N3,T-N3-O4,2021-11-05,bancassurance,1
98,AGT00098,Rahul Reddy,North,T-N3,T-N3-O4,2020-08-23,bancassurance,1
99,AGT00099,Vijay Chauhan,North,T-N3,T-N3-O4,2021-09-28,bancassurance,1
100,AGT00100,Shweta Shah,North,T-N3,T-N3-O4,2020-04-24,bancassurance,1
101,AGT00101,Kavita Pillai,South,T-S1,T-S1-O1,2021-12-20,bancassurance,1
102,AGT00102,Dinesh Joshi,South,T-S1,T-S1-O1,2022-05-25,bancassurance,1
103,AGT00103,Vikas Sharma,South,T-S1,T-S1-O1,2021-08-29,tied_agency,1
104,AGT00104,Rekha Singh,South,T-S1,T-S1-O1,2021-07-19,bancassurance,1
105,AGT00105,Vijay Shah,South,T-S1,T-S1-O1,2020-08-06,bancassurance,1
106,AGT00106,Vikas Sharma,South,T-S1,T-S1-O1,2020-02-24,tied_agency,1
107,AGT00107,Sheetal Pillai,South,T-S1,T-S1-O1,2020-07-15,bancassurance,1
108,AGT00108,Jyoti Kumar,South,T-S1,T-S1-O1,2022-08-22,bancassurance,1
109,AGT00109,Shweta Pillai,South,T-S1,T-S1-O1,2022-03-04,bancassurance,1
110,AGT00110,Pallavi Pillai,South,T-S1,T-S1-O1,2020-06-09,bancassurance,1
111,AGT00111,Neha Rao,South,T-S1,T-S1-O1,2019-11-06,bancassurance,1
112,AGT00112,Ramesh Nair,South,T-S1,T-S1-O1,2021-06-20,bancassurance,1
113,AGT00113,Amit Reddy,South,T-S1,T-S1-O2,2021-07-31,tied_agency,1
114,AGT00114,Sanjay Bose,South,T-S1,T-S1-O2,2021-05-25,tied_agency,1
115,AGT00115,Deepak Mehta,South,T-S1,T-S1-O2,2022-02-22,tied_agency,1
116,AGT00116,Suresh Bose,South,T-S1,T-S1-O2,2022-07-24,bancassurance,1
117,AGT00117,Ramesh Das,South,T-S1,T-S1-O2,2020-08-03,bancassurance,0
118,AGT00118,Rahul Menon,South,T-S1,T-S1-O2,2019-08-24,bancassurance,1
119,AGT00119,Anjali Reddy,South,T-S1,T-S1-O2,2020-03-31,bancassurance,0
120,AGT00120,Pallavi Bose,South,T-S1,T-S1-O2,2020-07-27,tied_agency,1
121,AGT00121,Meena Rao,South,T-S1,T-S1-O2,2020-03-08,tied_agency,1
122,AGT00122,Shweta Pandey,South,T-S1,T-S1-O2,2020-09-27,tied_agency,1
123,AGT00123,Rekha Bose,South,T-S1,T-S1-O2,2020-04-19,tied_agency,1
124,AGT00124,Rahul Singh,South,T-S1,T-S1-O3,2019-08-08,bancassurance,1
125,AGT00125,Neha Patel,South,T-S1,T-S1-O3,2022-02-28,bancassurance,1
126,AGT00126,Rohit Verma,South,T-S1,T-S1-O3,2020-10-17,bancassurance,1
127,AGT00127,Ramesh Das,South,T-S1,T-S1-O3,2020-10-17,bancassurance,1
128,AGT00128,Pallavi Bose,South,T-S1,T-S1-O3,2022-06-18,tied_agency,1
129,AGT00129,Amit Patel,South,T-S1,T-S1-O3,2020-12-16,tied_agency,1
130,AGT00130,Rahul Chauhan,South,T-S1,T-S1-O3,2021-07-14,tied_agency,1
131,AGT00131,Shweta Kumar,South,T-S1,T-S1-O3,2021-08-01,tied_agency,1
132,AGT00132,Dinesh Agarwal,South,T-S1,T-S1-O3,2020-04-24,tied_agency,1
133,AGT00133,Nitin Kumar,South,T-S2,T-S2-O1,2019-07-08,tied_agency,1
134,AGT00134,Rahul Reddy,South,T-S2,T-S2-O1,2021-03-05,bancassurance,1
135,AGT00135,Rajesh Singh,South,T-S2,T-S2-O1,2020-09-11,tied_agency,1
136,AGT00136,Kavita Chauhan,South,T-S2,T-S2-O1,2022-05-08,tied_agency,1
137,AGT00137,Anjali Bose,South,T-S2,T-S2-O1,2019-09-30,bancassurance,1
138,AGT00138,Manoj Verma,South,T-S2,T-S2-O1,2019-03-19,tied_agency,1
139,AGT00139,Sunita Das,South,T-S2,T-S2-O1,2020-07-25,bancassurance,1
140,AGT00140,Rohit Mehta,South,T-S2,T-S2-O1,2019-05-11,bancassurance,1
141,AGT00141,Gaurav Nair,South,T-S2,T-S2-O1,2021-12-07,bancassurance,1
142,AGT00142,Pallavi Menon,South,T-S2,T-S2-O1,2020-04-24,bancassurance,1
143,AGT00143,Amit Nair,South,T-S2,T-S2-O2,2021-07-18,bancassurance,1
144,AGT00144,Vijay Chauhan,South,T-S2,T-S2-O2,2021-07-21,bancassurance,1
